Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4, 5 for all
1 pass.
2 pass
3 pass
4 pass.
PRESS ANY NUMBER & ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N), Sensor 2 Force (N), Sensor 3 Force (N), Sensor 4 Force (N)
816844, 4.351, 0.959, 0.939, 1.364
818164, 4.120, 0.921, 0.913, 1.337
819391, 4.065, 0.923, 0.896, 1.315
820711, 4.019, 0.921, 0.884, 1.246
822030, 3.977, 1.176, 0.867, 0.521
823350, 3.892, 0.867, 0.858, 0.288
824671, 3.852, 0.877, 0.849, 0.251
825991, 3.824, 0.907, 0.844, 0.146
827312, 3.795, 0.896, 0.837, 0.131
828632, 3.771, 0.901, 0.832, 0.194
829952, 3.686, 0.974, 0.754, -0.310
831178, 3.621, 0.988, 0.745, -0.292
832499, 3.608, 0.956, 0.742, -0.334
833725, 3.591, 0.955, 0.740, -0.300
835044, 3.580, 0.954, 0.738, -0.299
836271, 3.582, 0.961, 0.732, -0.297
837591, 3.837, 1.039, 0.660, -0.288
838817, 1.664, 1.011, 0.671, -0.283
840138, 1.006, 0.972, 0.671, -0.283
841458, 1.062, 0.969, 0.671, -0.282
842779, 0.728, 0.952, 0.672, -0.283
844099, 0.753, 0.945, 0.670, -0.284
845513, 0.765, 0.943, 0.670, -0.285
846928, 0.770, 0.941, 0.669, -0.286
848248, 0.774, 0.936, 0.669, -0.288
849663, 0.779, 0.934, 0.668, -0.289
851077, 0.780, 0.942, 0.668, -0.291
852491, 0.783, 0.948, 0.666, -0.292
853907, 0.786, 0.929, 0.665, -0.295
855226, 0.789, 0.927, 0.663, -0.294
856642, 0.792, 0.930, 0.663, -0.297
857962, 0.793, 0.946, 0.663, -0.300
859377, 0.795, 0.936, 0.662, -0.300
860791, 0.798, 0.935, 0.662, -0.299
862206, 0.799, 0.926, 0.660, -0.299
863620, 0.801, 0.919, 0.659, -0.299
864940, 0.803, 0.923, 0.659, -0.298
866355, 0.802, 0.920, 0.658, -0.299
867675, 0.805, 0.922, 0.657, -0.300
869090, 0.804, 0.919, 0.656, -0.300
870505, 0.805, 0.918, 0.655, -0.302
871919, 0.804, 0.930, 0.656, -0.302
873240, 0.804, 0.937, 0.654, -0.303
874560, 0.805, 0.942, 0.654, -0.302
875880, 0.806, 0.929, 0.653, -0.303
877106, 0.804, 0.929, 0.653, -0.305
878426, 0.806, 0.929, 0.651, -0.304
879652, 0.806, 0.927, 0.653, -0.307
880973, 0.806, 0.926, 0.651, -0.308
882199, 0.806, 0.924, 0.651, -0.309
883519, 0.805, 0.923, 0.650, -0.309
884744, 0.805, 0.921, 0.649, -0.309
886065, 0.804, 0.920, 0.649, -0.308
887385, 0.804, 0.920, 0.649, -0.309
888705, 0.804, 0.919, 0.647, -0.311
890026, 0.804, 0.917, 0.649, -0.310
891346, 0.803, 0.917, 0.648, -0.310
892666, 0.803, 0.919, 0.648, -0.307
893893, 0.804, 0.919, 0.647, -0.309
895213, 0.802, 0.916, 0.646, -0.309
896438, 0.804, 0.916, 0.647, -0.310
897759, 0.802, 0.914, 0.644, -0.310
898985, 0.801, 0.915, 0.644, -0.312
900305, 0.801, 0.914, 0.644, -0.311
901532, 0.800, 0.911, 0.645, -0.312
902852, 0.800, 0.910, 0.643, -0.309
904077, 0.799, 0.910, 0.644, -0.311
905398, 0.800, 0.908, 0.642, -0.311
906624, 0.799, 0.906, 0.642, -0.281
908038, 1.002, 0.561, 0.398, -0.247
909453, 1.019, 0.592, 0.387, -0.237
910868, 1.013, 0.598, 0.387, -0.249
912283, 1.000, 0.640, 0.384, -0.247
913603, 0.918, 0.718, 0.380, -0.256
915018, 0.936, 0.700, 0.380, -0.290
916338, 0.939, 0.702, 0.379, -0.291
917753, 0.938, 0.702, 0.379, -0.293
919167, 0.937, 0.704, 0.379, -0.292
920487, 0.938, 0.706, 0.379, -0.294
921902, 0.937, 0.724, 0.540, -0.295
923222, 2.498, 3.139, 0.309, -0.271
924636, 3.580, 3.140, 0.273, -0.274
925957, 3.474, 3.053, 0.268, -0.268
927371, 3.416, 3.001, 0.266, -0.269
928787, 3.371, 2.960, 0.264, -0.268
930201, 3.337, 2.926, 0.264, -0.271
931615, 3.308, 2.905, 0.264, -0.270
932936, 3.288, 2.886, 0.244, -0.272
934350, 3.268, 2.867, 0.127, -0.273
935670, 3.252, 2.852, 0.138, -0.272
937085, 3.235, 2.836, 0.143, -0.273
938499, 3.221, 2.821, 0.148, -0.275
939820, 3.205, 2.807, 0.149, -0.277
941140, 3.194, 2.802, 0.150, -0.277
942366, 3.184, 2.798, 0.152, -0.276
943687, 3.177, 2.787, 0.154, -0.276
944913, 3.167, 2.778, 0.155, -0.276
946232, 3.158, 2.770, 0.158, -0.276
947458, 3.150, 2.762, 0.159, -0.276
948779, 3.143, 2.753, 0.160, -0.277
950005, 3.136, 2.747, 0.161, -0.279
951325, 3.129, 2.758, 0.164, -0.279
952552, 3.119, 2.749, 0.165, -0.280
953871, 3.114, 2.743, 0.166, -0.281
955097, 3.108, 2.736, 0.166, -0.282
956418, 3.101, 2.729, 0.167, -0.282
957738, 3.097, 2.723, 0.186, -0.259
959058, 6.865, 8.172, 1.734, 0.190
960379, 11.691, 10.481, 1.728, 0.153
961605, 10.925, 10.014, 1.660, 0.141
962925, 10.544, 9.753, 1.620, 0.134
964151, 10.315, 9.590, 1.590, 0.127
965471, 10.132, 9.450, 1.566, 0.122
966697, 10.000, 9.358, 1.547, 0.119
968018, 9.884, 9.266, 0.891, 0.115
969244, 9.793, 9.194, 0.938, 0.111
970564, 9.701, 9.125, 0.956, 0.107
971885, 9.629, 9.066, 0.966, 0.105
973299, 9.555, 9.011, 0.971, 0.102
974714, 9.486, 8.955, 0.973, 0.099
976034, 9.438, 8.916, 0.766, 0.087
977448, 9.402, 8.872, 0.417, 0.082
978769, 9.357, 8.823, 0.442, 0.080
980183, 9.311, 8.796, 0.457, 0.081
981503, 9.270, 8.761, 0.467, 0.079
982918, 9.227, 8.729, 0.474, 0.077
984332, 9.195, 8.695, 0.146, 0.051
985748, 9.175, 8.468, 0.546, -0.181
987162, 9.212, 8.646, 0.302, -0.161
988482, 9.198, 8.571, 0.305, -0.203
989897, 9.171, 8.540, 0.309, -0.191
991217, 9.146, 8.519, 0.312, -0.187
992632, 9.117, 8.499, 0.316, -0.188
994046, 9.090, 8.479, 0.317, -0.186
995367, 9.068, 8.460, 0.320, -0.187
996781, 9.045, 8.441, 0.322, -0.193
998101, 9.023, 8.424, 0.326, -0.185
999516, 9.000, 8.407, 0.325, -0.181
1000836, 8.988, 8.398, 0.327, -0.184
1002250, 8.968, 8.384, 0.329, -0.183
1003571, 8.951, 8.369, 0.330, -0.171
1004985, 8.929, 8.354, 1.020, -0.114
1006401, 8.905, 8.343, 0.974, -0.123
1007721, 8.888, 8.330, 0.953, -0.129
1009135, 8.870, 8.316, 0.939, -0.133
1010456, 8.853, 8.299, 0.929, -0.137
1011776, 8.835, 8.285, 0.923, -0.138
1013002, 8.824, 8.280, 0.928, 0.061
1014322, 8.781, 8.260, 3.248, 1.355
1015548, 8.727, 8.251, 2.973, 1.246
1016869, 8.716, 8.241, 2.873, 1.201
1018189, 8.706, 8.231, 2.804, 1.172
1019509, 8.692, 8.220, 2.758, 1.151
1020830, 8.679, 8.214, 2.718, 1.137
1022056, 8.669, 8.203, 2.687, 1.122
1023375, 8.655, 8.186, 2.662, 1.107
1024602, 8.640, 8.178, 2.635, 1.096
1025922, 8.630, 8.168, 2.615, 1.087
1027148, 8.620, 8.161, 2.548, 1.535
1028468, 8.630, 8.133, 1.907, 1.629
1029695, 8.619, 8.127, 1.957, 1.584
1031015, 8.607, 8.120, 1.978, 1.558
1032240, 8.599, 8.113, 1.988, 1.535
1033561, 8.585, 8.101, 1.995, 1.517
1034787, 8.577, 8.099, 1.998, 1.500
1036107, 8.565, 8.089, 2.001, 1.487
1037428, 8.556, 8.084, 2.001, 1.475
1038842, 8.546, 8.076, 2.002, 1.460
1040257, 8.534, 8.061, 2.000, 1.453
1041577, 8.527, 8.060, 1.879, 2.221
1042992, 8.551, 7.996, 1.480, 2.538
1044312, 8.539, 7.999, 1.497, 2.460
1045726, 8.530, 7.998, 1.505, 2.415
1047047, 8.520, 7.990, 1.513, 2.377
1048461, 8.506, 7.981, 1.514, 2.346
1049877, 8.499, 7.979, 1.518, 2.325
1051197, 8.491, 7.973, 1.521, 2.303
1052612, 8.483, 7.967, 1.522, 2.285
1053932, 8.476, 7.965, 1.523, 2.269
1055347, 8.465, 7.957, 1.585, 3.040
1056667, 16.362, 14.570, 3.891, 4.437
1058081, 15.199, 13.837, 3.751, 4.273
1059496, 14.774, 13.537, 3.681, 4.183
1060816, 14.529, 13.346, 3.631, 4.113
1062231, 14.334, 13.192, 3.594, 4.060
1063551, 14.193, 13.082, 3.563, 4.011
1064966, 14.068, 12.983, 3.536, 3.977
1066286, 13.972, 12.902, 3.514, 3.934
1067701, 13.870, 12.812, 3.491, 3.908
1069116, 13.793, 12.754, 3.683, 4.954
1070436, 17.852, 16.365, 4.169, 4.934
1071851, 17.172, 15.881, 4.095, 4.833
1073172, 16.869, 15.632, 4.048, 4.757
1074586, 16.642, 15.444, 4.013, 4.702
1075907, 16.474, 15.303, 3.981, 4.649
1077321, 16.322, 15.168, 3.956, 4.603
1078736, 16.194, 15.066, 3.932, 4.568
1080056, 16.097, 14.982, 3.912, 4.533
1081471, 15.996, 14.899, 3.893, 4.505
1082697, 15.923, 14.840, 3.875, 4.479
1084017, 15.848, 14.771, 3.863, 4.453
1085244, 15.783, 14.720, 3.847, 4.429
1086563, 15.714, 14.656, 3.833, 4.408
1087789, 15.661, 14.613, 3.821, 5.023
1089110, 20.548, 19.009, 4.789, 5.929
1090336, 19.655, 18.386, 4.693, 5.776
1091657, 19.278, 18.060, 4.639, 5.684
1092883, 19.008, 17.838, 4.601, 5.618
1094202, 18.807, 17.645, 4.564, 5.554
1095428, 18.668, 17.516, 4.535, 5.508
1096749, 18.535, 17.398, 4.509, 5.468
1097975, 18.418, 17.296, 4.488, 5.431
1099296, 18.316, 17.207, 4.465, 5.394
1100710, 18.216, 17.119, 4.446, 5.362
1102031, 18.131, 17.044, 4.428, 5.331
1103445, 18.048, 16.973, 4.410, 5.303
1104766, 17.977, 16.913, 4.394, 5.277
1106180, 17.907, 16.853, 4.380, 5.255
1107500, 17.846, 16.801, 4.368, 5.232
1108821, 17.791, 16.752, 4.354, 5.210
1110141, 17.734, 16.708, 4.341, 5.190
1111462, 17.682, 16.666, 4.329, 5.170
1112876, 17.629, 16.619, 4.318, 5.150
1114196, 17.582, 16.583, 4.307, 5.129
1115611, 17.536, 16.544, 4.296, 5.112
1116931, 17.494, 16.509, 4.286, 5.096
1118346, 17.451, 16.473, 4.277, 5.080
1119666, 17.414, 16.441, 4.268, 5.064
1120987, 17.378, 16.410, 4.259, 5.050
1122401, 17.341, 16.378, 4.250, 5.034
1123721, 17.308, 16.351, 4.242, 5.019
1125137, 17.275, 16.322, 4.232, 5.005
1126456, 17.243, 16.295, 4.228, 4.993
1127872, 17.210, 16.268, 4.219, 4.980
1129192, 17.182, 16.244, 4.211, 4.967
1130607, 17.151, 16.219, 4.203, 4.956
1131927, 17.123, 16.197, 4.198, 4.944
1133248, 17.097, 16.174, 4.190, 4.931
1134662, 17.071, 16.150, 4.183, 4.923
1135983, 17.045, 16.128, 4.177, 4.909
1137397, 17.020, 16.106, 4.170, 4.900
1138718, 16.998, 16.087, 4.165, 4.888
1140132, 16.973, 16.065, 4.158, 4.879
1141452, 16.952, 16.047, 4.153, 4.869
1142773, 16.931, 16.028, 4.147, 4.859
1144093, 16.909, 16.010, 4.142, 4.851
1145414, 16.889, 15.990, 4.137, 4.843
1146828, 16.867, 15.974, 4.131, 4.834
1148149, 16.847, 15.956, 4.125, 4.824
1149563, 16.827, 15.938, 4.122, 4.818
1150790, 16.811, 15.926, 4.116, 4.808
1152110, 16.791, 15.908, 4.111, 4.802
1153336, 16.775, 15.897, 4.107, 4.794
1154656, 16.755, 15.882, 4.103, 4.786
1155882, 16.739, 15.869, 4.099, 4.777
1157203, 16.722, 15.855, 4.094, 4.786
1158429, 16.725, 15.862, 4.095, 4.789
1159655, 16.729, 15.851, 4.088, 4.777
1160975, 16.710, 15.835, 4.085, 4.760
1162295, 16.684, 15.812, 4.081, 4.759
1163711, 16.673, 15.795, 4.076, 4.754
1165031, 16.650, 15.779, 4.071, 4.743
1166446, 16.636, 15.773, 4.068, 4.740
1167766, 20.112, 20.382, 5.089, 6.463
1169181, 20.689, 19.805, 5.000, 6.320
1170501, 20.390, 19.569, 4.956, 6.250
1171821, 20.236, 19.426, 4.927, 6.198
1173142, 20.115, 19.312, 4.903, 6.156
1174462, 20.021, 19.166, 4.973, 5.668
1175877, 19.173, 19.178, 4.988, 5.644
1177197, 19.108, 19.081, 4.968, 5.643
1178612, 19.073, 19.013, 4.951, 5.638
1179932, 19.039, 18.956, 4.956, 5.638
1181346, 18.982, 18.897, 5.012, 5.655
1182667, 18.950, 18.857, 4.999, 5.673
1183987, 18.985, 18.821, 4.981, 5.602
1185308, 18.817, 18.724, 4.955, 5.618
1186628, 18.799, 18.688, 4.945, 5.605
1188042, 18.742, 18.624, 4.929, 5.504
1189363, 18.603, 18.511, 4.914, 5.507
1190777, 18.610, 18.491, 4.905, 5.510
1192098, 18.571, 18.453, 4.864, 5.500
1193418, 18.525, 18.442, 4.858, 5.517
1194738, 18.514, 18.424, 4.853, 5.544
1196059, 18.574, 18.474, 4.859, 5.665
1197379, 18.633, 18.460, 4.864, 5.698
1198700, 18.704, 18.490, 4.867, 5.650
1200114, 18.713, 18.473, 4.861, 5.566
1201435, 18.549, 18.343, 4.851, 5.515
1202849, 18.518, 18.309, 4.839, 5.506
1204169, 18.516, 18.292, 4.833, 5.510
1205490, 18.501, 18.277, 4.828, 5.480
1206810, 18.447, 18.228, 4.826, 5.397
1208131, 18.491, 18.244, 4.826, 5.408
1209451, 18.459, 18.197, 4.817, 5.398
1210771, 18.435, 18.173, 4.810, 5.389
1212186, 18.418, 18.154, 4.804, 5.393
1213506, 18.402, 18.138, 4.787, 5.383
1214921, 18.427, 18.112, 4.769, 5.364
1218881, 18.310, 18.046, 4.765, 5.351
1220106, 18.296, 18.028, 4.760, 5.348
1221333, 18.285, 18.016, 4.755, 5.354
1222559, 18.287, 18.008, 4.750, 5.349
1223879, 18.273, 17.989, 4.744, 5.328
1225200, 18.261, 17.980, 4.742, 5.411
1226520, 18.280, 17.974, 4.740, 5.409
1227841, 18.269, 17.963, 4.735, 5.364
1229161, 18.252, 17.937, 4.659, 8.232
1230575, 14.322, 21.616, 2.434, 10.730
1231896, 12.979, 22.390, 2.019, 12.382
1233310, 11.605, 25.235, 1.060, 16.957
1234631, 8.752, 27.830, 0.793, 20.588
1235951, 7.571, 29.579, 0.705, 23.466
1237271, 6.678, 31.765, 0.678, 26.740
1238592, 5.968, 32.551, 0.652, 26.947
1239912, 6.118, 32.017, 0.653, 27.530
1241231, 5.809, 32.706, 0.652, 27.066
1242647, 5.868, 32.350, 0.655, 25.969
1243967, 7.104, 20.677, 1.946, 3.244
1245382, 16.008, 11.950, 4.283, 2.505
1246702, 15.796, 12.776, 4.170, 2.698
1248023, 15.679, 13.125, 4.110, 2.644
1249343, 15.765, 13.247, 4.066, 2.738
1250663, 15.648, 13.343, 4.033, 2.792
1251983, 15.571, 13.409, 4.010, 2.834
1253303, 15.509, 13.392, 3.985, 2.823
1254719, 15.332, 13.406, 3.969, 2.850
1256039, 15.283, 13.430, 3.955, 2.864
1257453, 15.238, 13.464, 3.946, 2.875
1258774, 15.178, 13.523, 3.939, 3.113
1260094, 15.063, 13.613, 4.000, 2.433
1261413, 15.332, 13.460, 4.146, 2.650
1262734, 15.301, 13.490, 4.129, 2.674
1264054, 15.276, 13.509, 4.120, 2.693
1265375, 15.265, 13.544, 4.112, 2.721
1266789, 15.282, 13.569, 4.103, 2.742
1268109, 15.291, 13.590, 4.095, 2.747
1269525, 15.264, 13.595, 4.090, 2.765
1270845, 15.265, 13.622, 4.087, 2.776
1272165, 15.203, 13.538, 4.077, 2.744
1273485, 15.164, 13.548, 4.072, 2.740
1274805, 15.170, 13.580, 4.065, 2.755
1276126, 15.098, 14.517, 1.368, 11.703
1277446, 8.336, 25.053, 0.567, 23.523
1278861, 6.154, 29.657, 0.555, 25.031
1280181, 5.786, 32.262, 0.549, 26.160
1281596, 5.689, 32.134, 0.553, 26.169
1282916, 5.718, 32.023, 0.554, 26.295
1284142, 5.730, 31.715, 0.569, 9.671
1285462, 12.453, 15.156, 2.471, 1.244
1286783, 15.457, 12.326, 3.977, 2.571
1288103, 14.998, 12.755, 3.874, 2.832
1289424, 15.043, 13.124, 3.820, 2.919
1290744, 14.947, 13.210, 3.787, 2.972
1292064, 14.881, 13.275, 3.762, 3.015
1293479, 14.835, 13.330, 3.743, 3.051
1294799, 14.791, 13.356, 3.730, 3.076
1296214, 14.763, 13.394, 3.718, 3.098
1297534, 14.737, 13.396, 3.712, 2.908
1298854, 14.545, 13.261, 3.701, 2.894
1300175, 14.512, 13.269, 3.692, 2.892
1301495, 14.448, 13.265, 3.679, 2.908
1302815, 14.431, 13.307, 3.662, 3.263
1304136, 14.422, 13.401, 3.648, 3.242
1305550, 14.442, 13.398, 3.645, 3.240
1306871, 14.435, 13.428, 3.643, 3.229
1308285, 14.421, 13.389, 3.632, 3.549
1309605, 13.790, 15.521, 1.199, 13.174
1310926, 8.254, 24.513, 0.686, 21.128
1312246, 6.542, 28.612, 0.659, 24.679
1313566, 5.968, 30.495, 0.661, 26.156
1314887, 5.666, 31.744, 0.659, 27.672
1316207, 5.693, 31.293, 0.650, 27.565
1317622, 5.647, 31.828, 0.655, 27.744
1318942, 5.566, 32.189, 0.655, 26.435
1320356, 7.689, 16.691, 1.697, 3.433
1321677, 13.122, 11.795, 4.714, 1.151
1322997, 16.452, 11.386, 3.791, 2.184
1324317, 15.646, 11.643, 3.757, 2.304
1325637, 15.633, 11.886, 3.723, 2.215
1326958, 15.672, 11.957, 3.702, 2.291
1328278, 15.646, 12.019, 3.680, 2.336
1329693, 15.580, 12.079, 3.661, 2.366
1331013, 15.536, 12.123, 3.646, 2.395
1332427, 15.485, 12.163, 3.633, 2.421
1333748, 15.405, 12.131, 3.612, 2.445
1335068, 15.208, 12.151, 3.605, 2.455
1336388, 15.151, 12.153, 3.598, 2.460
1337709, 15.126, 12.181, 3.591, 2.466
1339029, 15.065, 12.213, 3.584, 2.490
1340349, 15.110, 12.262, 3.490, 3.829
1341669, 13.781, 16.386, 0.875, 14.507
1342989, 7.189, 26.483, 0.660, 23.825
1344405, 5.651, 31.646, 0.650, 27.580
1345725, 5.426, 31.609, 0.650, 27.769
1347044, 5.358, 32.361, 0.649, 28.198
1348365, 5.364, 32.149, 0.650, 27.822
1349780, 6.272, 21.910, 0.860, 3.727
1351100, 14.497, 10.053, 3.683, 1.845
1352420, 15.201, 11.603, 3.454, 1.958
1353740, 15.068, 11.990, 3.638, 1.881
1355060, 15.046, 12.227, 3.631, 1.968
1356476, 14.874, 12.335, 3.617, 2.165
1357795, 14.774, 12.403, 3.600, 2.168
1359115, 14.729, 12.448, 3.584, 2.209
1360436, 14.692, 12.338, 3.527, 2.034
1361756, 14.580, 12.349, 3.517, 2.059
1363076, 14.534, 12.348, 3.505, 2.065
1364397, 14.480, 12.373, 3.496, 2.105
1365717, 14.475, 12.438, 3.495, 2.168
1367037, 14.520, 12.478, 3.488, 2.176
1368452, 14.522, 12.507, 3.485, 2.181
1369772, 14.508, 12.526, 3.478, 2.197
1371187, 14.496, 12.527, 2.419, 5.728
1372507, 11.330, 18.285, 0.772, 14.504
1373827, 8.158, 21.588, 0.641, 17.681
1375148, 7.110, 25.708, 0.618, 20.666
1376468, 6.466, 27.094, 0.617, 20.893
1377788, 6.552, 26.608, 0.621, 21.038
1379109, 6.354, 28.478, 0.615, 26.538
1380429, 5.665, 30.807, 0.613, 29.386
1381749, 5.404, 31.736, 0.619, 30.206
1383164, 5.274, 32.348, 0.619, 29.843
1384484, 5.328, 32.079, 0.621, 26.132
1385804, 8.013, 18.560, 1.515, 1.665
1387125, 17.012, 10.017, 3.818, 1.801
1388445, 15.459, 11.087, 3.732, 1.952
1389765, 15.386, 11.440, 3.681, 1.998
1391086, 15.545, 11.565, 3.661, 1.920
1392406, 15.462, 11.640, 3.630, 1.975
1393726, 15.377, 11.695, 3.607, 2.014
1395141, 15.304, 11.743, 3.588, 2.037
1396461, 15.245, 11.791, 3.574, 2.059
1397875, 15.082, 11.739, 3.553, 2.064
1399196, 14.921, 11.752, 3.544, 2.088
1400516, 14.902, 11.782, 3.535, 2.112
1401836, 14.886, 11.811, 3.530, 2.133
1403156, 14.869, 11.833, 3.522, 2.144
1404477, 14.849, 11.851, 3.518, 2.155
1405796, 14.836, 11.869, 3.513, 2.168
1407211, 14.820, 11.887, 3.507, 2.175
1408532, 14.808, 11.899, 3.502, 2.183
1409946, 14.795, 11.914, 3.496, 2.190
1411266, 14.785, 11.927, 3.494, 2.198
1412587, 14.775, 11.944, 3.491, 2.206
1414001, 14.762, 11.935, 3.485, 2.195
1415415, 14.699, 11.977, 3.466, 2.254
1416736, 14.739, 12.002, 3.466, 2.255
1418056, 14.722, 12.020, 3.465, 2.271
1419470, 14.735, 12.036, 3.462, 2.266
1420791, 14.708, 12.031, 3.461, 2.269
1422111, 14.702, 12.038, 3.456, 2.276
1423431, 14.679, 12.009, 3.454, 2.277
1424752, 14.688, 12.063, 3.453, 2.287
1426072, 14.681, 12.045, 3.449, 2.282
1427392, 14.672, 12.051, 3.445, 2.283
1428712, 14.653, 12.053, 3.447, 2.286
1430033, 14.638, 12.053, 3.445, 2.291
1431447, 14.635, 12.071, 3.443, 2.295
1432767, 14.617, 12.062, 3.440, 2.294
1434088, 14.608, 12.067, 3.435, 2.296
1435407, 14.603, 12.071, 3.436, 2.300
1436728, 14.602, 12.077, 3.434, 2.303
1438048, 14.601, 12.105, 3.435, 2.304
1439368, 14.610, 12.114, 3.435, 2.310
1440688, 14.611, 12.115, 3.432, 2.311
1442009, 14.609, 12.118, 3.433, 2.318
1443329, 14.552, 10.796, 5.106, 1.717
1444649, 15.369, 11.075, 3.465, 2.565
1446064, 15.694, 11.114, 3.485, 1.767
1447384, 16.835, 10.603, 3.294, 3.063
1448704, 15.763, 10.656, 3.014, 1.911
1450025, 15.279, 11.093, 3.120, 2.467
1451345, 15.186, 11.069, 3.125, 2.539
1452665, 23.013, 20.238, 5.073, 4.574
1453986, 24.233, 19.561, 4.948, 4.439
1455306, 23.777, 19.147, 6.304, 3.339
1456626, 23.422, 18.869, 6.795, 3.624
1458041, 23.264, 18.203, 5.717, 4.081
1459361, 23.141, 18.209, 5.696, 4.055
1460681, 23.002, 18.131, 5.673, 4.057
1462002, 22.928, 18.172, 5.651, 4.036
1463322, 22.842, 18.072, 5.625, 4.004
1464642, 22.660, 18.043, 5.609, 3.999
1465963, 22.580, 17.994, 5.594, 4.002
1467283, 22.545, 18.021, 5.581, 3.992
1468602, 22.481, 17.996, 5.567, 3.983
1469923, 22.409, 17.971, 5.556, 3.971
1471243, 22.349, 17.949, 5.542, 3.965
1472659, 22.282, 17.926, 5.531, 3.963
1473978, 22.247, 17.913, 5.521, 4.111
1475298, 27.224, 23.640, 6.369, 5.121
1476714, 27.017, 23.238, 6.277, 5.030
1478128, 26.620, 23.054, 6.223, 4.982
1479543, 26.347, 22.932, 6.186, 4.944
1480957, 26.140, 22.844, 6.155, 4.911
1482372, 25.952, 22.753, 6.129, 4.897
1483692, 25.832, 22.691, 6.108, 4.879
1485012, 25.720, 22.643, 6.088, 4.860
1486333, 25.613, 22.600, 6.069, 4.848
1487653, 25.518, 22.559, 6.053, 5.595
1488973, 34.291, 32.118, 8.108, 8.058
1490294, 32.327, 31.288, 7.894, 7.869
1491614, 31.600, 30.893, 7.791, 7.763
1492934, 31.145, 30.591, 7.712, 7.683
1494349, 30.798, 30.342, 7.651, 7.627
1495669, 30.575, 30.149, 7.601, 7.548
1496989, 30.274, 29.950, 7.555, 7.516
1498310, 30.170, 29.827, 7.521, 7.486
1499630, 29.954, 29.716, 7.485, 7.458
1500950, 29.807, 29.621, 7.456, 7.429
1502271, 29.674, 29.533, 7.426, 7.406
1503591, 29.560, 29.456, 7.402, 7.385
1504910, 29.452, 29.379, 7.448, 7.836
1506231, 29.407, 29.290, 7.699, 7.560
1507551, 29.317, 29.199, 7.532, 6.807
1508965, 29.272, 29.144, 7.494, 6.849
1510286, 29.168, 29.100, 7.495, 7.419
1511606, 28.626, 29.113, 22.812, 18.098
1512926, 26.676, 29.310, 29.995, 19.702
1514247, 26.885, 29.234, 18.002, 16.341
1515567, 27.261, 29.165, 18.088, 16.132
1516888, 27.232, 29.128, 18.016, 15.975
1518208, 27.201, 29.084, 17.939, 15.853
1519528, 27.181, 29.031, 17.849, 15.755
1520849, 27.157, 28.986, 17.779, 13.536
1522169, 29.091, 26.775, 27.686, 3.751
1523583, 28.687, 26.876, 38.825, 5.156
1524904, 30.259, 22.533, 57.977, 3.859
1526224, 29.478, 26.478, 18.359, 10.665
1527544, 28.025, 27.271, 17.283, 10.501
1528865, 28.030, 27.226, 17.570, 10.380
1530185, 28.013, 27.192, 17.679, 10.326
1531506, 28.015, 27.193, 17.743, 10.302
1532826, 27.987, 27.195, 17.776, 10.292
1534146, 27.975, 27.176, 17.789, 10.271
1535561, 27.927, 27.148, 17.794, 10.259
1536881, 27.912, 27.140, 17.795, 10.245
1538201, 27.885, 27.125, 17.791, 10.231
1539522, 27.852, 27.101, 17.784, 10.959
1540936, 27.809, 27.063, 17.777, 12.596
1542350, 27.782, 27.049, 17.771, 12.410
1543765, 27.758, 27.039, 17.766, 12.304
1545273, 27.727, 27.024, 17.756, 12.227
1546689, 27.696, 27.001, 17.749, 12.172
1548103, 27.672, 26.983, 17.741, 12.123
1549518, 27.640, 26.959, 17.732, 12.083
1550838, 27.610, 26.946, 17.723, 12.045
1552158, 27.579, 26.928, 17.716, 12.015
1553479, 27.554, 26.922, 17.710, 11.993
1554893, 27.547, 26.912, 17.768, 20.832
1556213, 27.503, 26.670, 18.102, 19.964
1557534, 27.487, 26.669, 18.078, 19.569
1558854, 27.458, 26.656, 18.063, 19.321
1560174, 27.447, 26.655, 18.046, 19.139
1561495, 27.430, 26.650, 18.033, 18.989
1562815, 27.404, 26.635, 18.019, 18.873
1564135, 27.390, 26.625, 18.008, 18.770
1565455, 27.368, 26.611, 17.995, 18.688
1566775, 27.354, 26.609, 18.028, 24.317
1568095, 27.391, 26.317, 18.653, 24.210
1569511, 27.373, 26.316, 18.611, 23.827
1570830, 27.353, 26.313, 18.583, 23.577
1572150, 27.340, 26.305, 18.560, 23.379
1573471, 27.322, 26.299, 18.540, 23.212
1574791, 27.294, 26.290, 18.516, 23.084
1576112, 27.288, 26.280, 18.501, 22.965
1577432, 27.273, 26.040, 19.669, 29.021
1578752, 27.331, 25.917, 19.581, 28.304
1580073, 27.315, 25.916, 19.532, 27.904
1581393, 27.298, 25.918, 19.499, 27.616
1582713, 27.283, 25.912, 19.470, 27.381
1584034, 27.269, 25.911, 19.445, 27.185
1585354, 27.258, 25.906, 19.423, 27.016
1586674, 27.241, 25.896, 19.398, 26.866
1587995, 27.228, 25.896, 19.380, 26.739
1589315, 27.212, 25.888, 19.360, 26.620
1590635, 27.195, 25.883, 19.342, 26.520
1591956, 27.179, 25.874, 19.324, 26.425
1593276, 27.156, 25.856, 19.299, 26.338
1594595, 27.145, 25.857, 19.289, 26.264
