Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4
1 pass.
2 pass
3 pass
4 pass.
PRESS ANY NUMBER & ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N), Sensor 2 Force (N), Sensor 3 Force (N), Sensor 4 Force (N)
323176, 47.552, 60.206, 68.121, 54.832
324590, 48.057, 60.010, 68.930, 54.066
325910, 47.164, 60.304, 70.459, 60.784
327324, 54.043, 61.629, 70.009, 55.304
328645, 47.524, 59.421, 67.806, 54.125
330059, 46.739, 59.568, 67.806, 53.565
331379, 45.434, 58.881, 67.536, 53.683
332699, 46.216, 59.813, 67.401, 53.418
334019, 45.411, 60.353, 68.975, 53.418
335339, 45.438, 59.421, 67.671, 53.536
336753, 46.001, 59.813, 67.761, 53.330
338073, 46.137, 59.323, 67.851, 53.772
339487, 47.567, 60.059, 68.121, 54.037
340808, 47.298, 59.715, 68.525, 54.950
342128, 48.117, 60.500, 67.671, 54.361
343448, 49.123, 61.187, 67.536, 58.427
344768, 80.729, 69.529, 79.856, 63.966
346182, 59.751, 63.543, 71.538, 57.720
347502, 50.944, 60.844, 69.110, 55.569
348916, 47.681, 59.519, 67.941, 55.481
350236, 48.113, 59.764, 68.166, 54.037
351650, 48.435, 60.451, 67.626, 54.243
352971, 46.941, 60.157, 67.941, 53.801
354291, 47.238, 60.108, 67.761, 53.565
355705, 46.255, 59.519, 67.491, 53.448
356931, 45.935, 59.617, 67.311, 53.389
358251, 44.565, 59.077, 67.626, 51.503
359477, 44.886, 59.862, 67.626, 52.917
360797, 45.699, 59.421, 67.266, 51.621
362022, 44.230, 59.274, 67.311, 52.063
363342, 43.412, 58.979, 66.817, 51.474
364568, 44.254, 59.912, 75.450, 64.408
365982, 53.790, 69.774, 80.621, 63.318
367303, 53.219, 68.547, 78.777, 63.141
368623, 52.877, 67.223, 79.766, 64.555
370037, 56.105, 69.283, 78.642, 65.322
371357, 62.457, 70.952, 81.115, 64.850
372771, 56.648, 68.547, 79.722, 64.172
374091, 55.407, 68.891, 77.563, 60.725
375505, 68.551, 70.805, 82.959, 69.299
376825, 78.047, 73.896, 84.263, 67.944
378146, 66.877, 76.202, 88.220, 77.667
379466, 74.506, 73.896, 89.209, 70.566
380786, 64.999, 69.578, 79.182, 66.559
382200, 56.911, 67.517, 75.720, 59.664
383520, 52.808, 66.634, 74.551, 59.576
384934, 50.176, 64.671, 72.932, 58.309
386254, 50.230, 65.407, 73.516, 57.838
387574, 48.049, 63.886, 70.549, 55.628
388894, 45.026, 61.874, 70.729, 55.363
390215, 45.866, 62.414, 68.436, 54.390
391629, 44.968, 61.776, 68.481, 49.824
392949, 17.651, 9.323, 13.804, -3.152
394363, 9.672, 9.519, 13.624, -2.769
395683, 9.801, 9.764, 13.669, -3.270
397097, 9.806, 8.194, 13.579, -2.858
398417, 9.598, 9.126, 13.310, -2.740
399737, 9.606, 9.126, 13.714, -2.887
401152, 9.664, 9.421, 13.445, -2.975
402472, 9.668, 9.323, 13.624, -3.152
